ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_2	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
mic_asv3957	0	0	0	0	0	0	0	0	0	0	1.34E-05	0	0	0	2.05E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.72E-05	8.38E-05	0	0	0	0	2.45E-05	1.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57E-05	0	0	1.18E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14E-05	1.46E-05	7.15E-05	0	1.51E-05	2.54E-05	1.01E-05	0	0	0	0	0	0	0	0
mic_asv3958	0	0	0	0	0	0	6.27E-05	0	0	0	1.34E-05	0	0	5.31E-05	6.82E-06	3.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.96E-05	4.63E-05	0	0	0	8.21E-05	0	0	1.22E-05	1.19E-05	0	8.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	2.74E-05	4.89E-05	0	0	0	0	0	0	0	0	0.000109626	3.13E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.42E-06	0	0	9.74E-05	0	0	0	5.09E-06	5.04E-06	0	0	0	0	0	0	0	0
mic_asv3959	0	5.65E-06	0	0	0	0	1.79E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15E-05	0	0	0	0	0	2.62E-05	0	2.32E-05	3.72E-05	0	0	0	0	0	2.45E-05	1.19E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001007	0	0	0	0	0	0	0	0	0	0	0	0	1.11E-05	0.000757389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-05	3.40E-05	3.00E-05	8.07E-05	2.98E-05	8.96E-06	0	0	9.45E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.70E-05	0	0	5.88E-07	0	0	0	0	0	0	0	0	0	6.44E-06	0	0	0	0	0	0	2.92E-05	0	0	0	0	1.01E-05	1.23E-05	0	0	0	0	0	0	0
mic_asv3962	2.49E-05	2.26E-05	7.32E-06	0	0	1.59E-05	8.96E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.76E-05	2.49E-05	2.69E-05	6.44E-06	1.22E-05	8.69E-06	0	0	0	5.23E-06	0	0	0	0	0	5.04E-06	1.23E-05	9.04E-06	1.52E-05	3.21E-05	6.93E-05	3.69E-05	5.20E-05	5.17E-05
mic_asv3967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.25E-05	0	0	0	0	0	0.0001007	0	0	0	0	0	0	0	0	3.64E-05	1.13E-05	2.00E-05	0	1.93E-05	9.06E-05	0	0	0	6.19E-05	2.91E-05	1.34E-05	0	0	0	0	0	0.000112443	0	0	7.15E-05	0	1.51E-05	0.00011696	1.51E-05	8.22E-06	5.88E-05	7.59E-06	2.75E-05	0	0	0	0
mic_asv3969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73E-05	0.000110584	0.000326805	0.000258635
mic_asv3971	0	5.65E-06	1.46E-05	0	0	6.38E-05	8.96E-06	9.41E-05	0	4.21E-05	4.03E-05	0.00016229	0.000235237	8.85E-05	7.50E-05	1.26E-05	0	7.37E-06	1.16E-05	0	0	1.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mic_asv3972	0	0	0	0	0	0	0	0	0	0	0	2.82E-05	2.02E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97E-05	6.96E-05	0	4.87E-06	5.72E-05	0	1.51E-05	0	0	0	0	0	0	0	0	0	0
mic_asv3973	0	0	0	0	0	0	0	0	0	0	0	0	9.41E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E-05	0	0	8.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000332233	1.79E-05	1.29E-05	0	0	0	1.48E-05	0	0	0	0	0	0	0	1.01E-05	0	9.04E-06	0	0	0	0	0	0
